PartCondition,AircraftTotalTime
CRACKED,26752.0
CORRODED,76493.0
CRACKED,76531.0
CORRODED,126187.0
CORRODED,126187.0
CORRODED,126187.0
CRACKED,76531.0
CRACKED,76531.0
CRACKED,76531.0
CRACKED,76531.0
CRACKED,76531.0
CRACKED,76531.0
CORRODED,126187.0
CRACKED,76531.0
CRACKED,126187.0
CRACKED,126187.0
CORRODED,126187.0
CRACKED,118382.0
CORRODED,126187.0
CRACKED,80231.0
CRACKED,40764.0
CORRODED,16654.0
CORRODED,16654.0
CORRODED,16654.0
CORRODED,16654.0
CORRODED,16654.0
CORRODED,16654.0
CORRODED,16654.0
CORRODED,45868.0
CRACKED,64783.0
CRACKED,40841.0
CRACKED,40841.0
CRACKED,40841.0
CRACKED,16654.0
CORRODED,16654.0
CRACKED,16654.0
CRACKED,2800.0
CRACKED,35396.0
CRACKED,63989.0
CORRODED,57061.0
CORRODED,70974.0
CORRODED,60253.0
CORRODED,64393.0
CORRODED,64393.0
CRACKED,64393.0
CORRODED,60253.0
CORRODED,60253.0
CRACKED,80231.0
CORRODED,80231.0
CRACKED,58618.0
CORRODED,56120.0
CRACKED,53635.0
CORRODED,56120.0
CRACKED,42771.0
CRACKED,58618.0
CRACKED,56120.0
CORRODED,105144.0
CRACKED,21717.0
CORRODED,54824.0
CRACKED,54824.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,36162.0
CORRODED,56480.0
CORRODED,56480.0
CRACKED,64363.0
CRACKED,64363.0
CRACKED,64363.0
CRACKED,64363.0
CRACKED,64363.0
CRACKED,64363.0
CRACKED,64363.0
CRACKED,64363.0
CRACKED,64363.0
CRACKED,64363.0
CORRODED,40841.0
CRACKED,49269.0
CRACKED,8922.0
CRACKED,43576.0
CORRODED,19955.0
CRACKED,17393.0
CORRODED,64393.0
CORRODED,63764.0
CORRODED,64393.0
CORRODED,63764.0
CORRODED,63764.0
CORRODED,63764.0
CORRODED,63764.0
CRACKED,86879.0
CRACKED,33492.0
CRACKED,33492.0
CORRODED,40841.0
CORRODED,40841.0
CRACKED,40841.0
CRACKED,22705.0
CRACKED,22705.0
CRACKED,22705.0
CRACKED,22705.0
CORRODED,7553.0
CRACKED,7553.0
CRACKED,34992.0
CORRODED,20614.0
CRACKED,23475.0
CRACKED,23475.0
CORRODED,71652.0
CRACKED,20614.0
CORRODED,20614.0
CORRODED,20614.0
CORRODED,20614.0
CRACKED,20614.0
CORRODED,70974.0
CRACKED,35396.0
CORRODED,70974.0
CORRODED,70974.0
CORRODED,60744.0
CORRODED,126187.0
CORRODED,126187.0
CORRODED,78316.0
CORRODED,76986.0
CORRODED,79739.0
